,yearNm,hsnNm,prizenm,cnt
248,2023,花蓮縣,三獎,16
249,2019,花蓮縣,四獎,66
250,2019,臺東縣,五獎,87
251,2020,嘉義縣,二獎,24
252,2021,連江縣,二獎,2
253,2021,新竹市,雲端發票八百元獎,9
254,2021,彰化縣,五獎,156
255,2022,花蓮縣,六獎,78
256,2022,苗栗縣,四獎,107
257,2022,基隆市,六獎,42
258,2021,連江縣,四獎,17
259,2022,苗栗縣,二獎,25
260,2023,南投縣,雲端發票八百元獎,26
261,2023,苗栗縣,特獎,1
262,2023,基隆市,三獎,14
263,2019,高雄市,二獎,94
264,2021,金門縣,特獎,1
265,2021,雲林縣,頭獎,1
266,2021,彰化縣,雲端發票百萬元獎,3
267,2021,臺南市,千萬特獎,6
268,2022,新竹市,五獎,19
269,2022,彰化縣,千萬特獎,4
270,2023,臺南市,五獎,76
271,2023,新竹市,二獎,5
272,2019,南投縣,雲端發票五百元獎,26
273,2021,臺北市,千萬特獎,12
274,2022,宜蘭縣,雲端發票八百元獎,77
275,2023,臺東縣,六獎,32
276,2021,屏東縣,四獎,170
277,2021,苗栗縣,三獎,79
278,2020,新竹縣,四獎,81
279,2021,屏東縣,二獎,37
280,2022,臺北市,雲端發票兩千元獎,78
281,2023,新竹縣,雲端發票五百元獎,26
282,2019,苗栗縣,千萬特獎,2
283,2019,新竹市,四獎,27
284,2021,嘉義市,頭獎,1
285,2021,臺中市,雲端發票五百元獎,180
286,2023,新北市,四獎,58
287,2021,宜蘭縣,千萬特獎,3
288,2021,澎湖縣,雲端發票五百元獎,36
289,2022,花蓮縣,雲端發票百萬元獎,1
290,2022,新北市,雲端發票五百元獎,174
291,2022,嘉義市,特獎,1
292,2019,宜蘭縣,四獎,72
293,2019,南投縣,雲端發票兩千元獎,69
294,2020,嘉義市,二獎,12
295,2022,臺北市,五獎,78
296,2020,嘉義市,四獎,12
297,2021,臺中市,雲端發票兩千元獎,173
298,2022,新竹縣,雲端發票八百元獎,83
299,2022,臺中市,頭獎,29
300,2022,澎湖縣,二獎,5
301,2023,新北市,二獎,34
302,2019,嘉義市,頭獎,2
303,2020,苗栗縣,頭獎,3
304,2019,高雄市,雲端發票五百元獎,68
305,2019,臺南市,六獎,222
306,2021,雲林縣,四獎,120
307,2021,連江縣,六獎,24
308,2022,高雄市,千萬特獎,6
309,2019,彰化縣,頭獎,6
310,2020,花蓮縣,雲端發票五百元獎,66
311,2021,苗栗縣,六獎,108
312,2021,新北市,頭獎,30
313,2023,新北市,雲端發票五百元獎,58
314,2023,臺南市,二獎,35
315,2019,新竹縣,二獎,25
316,2023,桃園市,四獎,26
317,2020,南投縣,六獎,78
318,2021,南投縣,三獎,55
319,2022,臺中市,雲端發票百萬元獎,19
320,2020,桃園市,三獎,74
321,2020,嘉義市,六獎,12
322,2021,宜蘭縣,雲端發票八百元獎,39
323,2021,金門縣,二獎,5
324,2021,基隆市,雲端發票百萬元獎,2
325,2022,雲林縣,雲端發票八百元獎,120
326,2023,澎湖縣,雲端發票兩千元獎,9
327,2020,新北市,五獎,175
328,2021,臺中市,二獎,97
329,2022,澎湖縣,雲端發票兩千元獎,27
330,2019,新北市,頭獎,29
331,2021,新竹市,雲端發票五百元獎,23
332,2022,嘉義市,雲端發票兩千元獎,12
333,2023,新竹縣,六獎,26
334,2021,高雄市,四獎,209
335,2022,嘉義縣,雲端發票兩千元獎,94
336,2021,彰化縣,特獎,2
337,2021,澎湖縣,六獎,36
338,2022,臺北市,六獎,78
339,2022,澎湖縣,五獎,36
340,2023,苗栗縣,四獎,34
341,2023,基隆市,六獎,14
342,2023,雲林縣,雲端發票五百元獎,40
343,2023,臺中市,雲端發票百萬元獎,5
344,2019,南投縣,六獎,78
345,2020,高雄市,六獎,216
346,2020,基隆市,雲端發票兩千元獎,42
347,2020,臺南市,特獎,4
348,2021,花蓮縣,雲端發票兩千元獎,64
349,2022,南投縣,頭獎,1
350,2022,雲林縣,千萬特獎,4
351,2019,澎湖縣,頭獎,1
352,2021,嘉義市,三獎,12
353,2023,高雄市,二獎,28
354,2019,臺東縣,二獎,10
355,2021,雲林縣,五獎,120
356,2023,澎湖縣,五獎,12
357,2019,桃園市,三獎,74
358,2020,新竹市,三獎,20
359,2020,桃園市,四獎,78
360,2020,基隆市,二獎,22
361,2023,嘉義縣,頭獎,1
362,2019,高雄市,三獎,182
363,2022,新竹市,六獎,20
364,2022,嘉義市,雲端發票百萬元獎,2
365,2023,嘉義縣,雲端發票五百元獎,36
366,2019,臺北市,六獎,78
367,2020,桃園市,五獎,79
368,2020,新竹市,五獎,30
369,2022,花蓮縣,頭獎,1
370,2020,宜蘭縣,千萬特獎,1
371,2021,花蓮縣,五獎,67
372,2022,嘉義縣,五獎,108
373,2019,高雄市,五獎,205
374,2022,花蓮縣,雲端發票八百元獎,78
375,2022,新竹縣,雲端發票百萬元獎,5
376,2022,嘉義市,五獎,12
377,2019,新北市,雲端發票百萬元獎,12
378,2021,苗栗縣,二獎,22
379,2021,嘉義市,四獎,12
380,2022,臺南市,雲端發票八百元獎,221
381,2023,臺南市,六獎,76
382,2019,新竹縣,雲端發票兩千元獎,70
383,2019,彰化縣,雲端發票百萬元獎,1
384,2021,花蓮縣,四獎,65
385,2021,新北市,雲端發票百萬元獎,23
386,2021,臺東縣,雲端發票五百元獎,82
387,2022,臺中市,特獎,8
388,2023,花蓮縣,雲端發票五百元獎,26
389,2023,臺北市,四獎,26
390,2023,臺東縣,千萬特獎,1
391,2019,桃園市,四獎,78
392,2020,新竹縣,六獎,84
393,2022,屏東縣,雲端發票百萬元獎,1
394,2022,連江縣,五獎,24
395,2022,臺北市,雲端發票五百元獎,78
396,2019,連江縣,雲端發票五百元獎,6
397,2020,臺北市,頭獎,41
398,2020,臺東縣,頭獎,1
399,2021,花蓮縣,特獎,1
400,2022,嘉義縣,四獎,104
401,2023,臺北市,雲端發票百萬元獎,7
